DCALENDARIO[ANO]	DCALENDARIO[NUMEROMES]	DCALENDARIO[NOMEMES]	DCALENDARIO[TRIMESTRE]	DCALENDARIO[TRI ANO]	DCALENDARIO[SEM]	VMQ_TSIEMP[RAZAOABREV]	VMQ_TSICUS[CODCENCUS]	VMQ_TSICUS[DESCRCENCUS]	VMQ_CADDRE[BLOCO]	VMQ_CADDRE[TITULO]	VMQ_TGFNAT[DESCRNAT]	[ORCADO]	[REALIZADO]	[VB_ORCADO]	[VB_REALIZADO]
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-6908,46		4216864,06	780104,6938
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-7504,01		4606991,6	347022,6412
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-9968,79		5710891,34	1414588,122
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-11587,98		6299522,52	961293,4252
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-11730,02		6840423,05	1469612,6872
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-12120,31		7397306,85	325992,65
2025	8	ago	T3	T3-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-10720,02		6555235,34	885220,303
2025	9	set	T3	T3-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-6160		6738690,72	899181,5971
2025	11	nov	T4	T4-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8120		8546417,28	1535126,1796
2025	12	dez	T4	T4-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5740		6411959,51	878426,4368
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8925,28		4981218,61	623737,974
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-14403,15		7535712,28	1832348,5392
2025	10	out	T4	T4-2025	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8400		7955451,09	1271825,2364
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-7504,01		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8218,68		5045713,85	912934,6725
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-6934		7643263	956761,4572
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5816		6011955	1242067,84
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-8933,35		5512279,65	1011721,2897
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-12159,36		7293908,34	1324472,974
2024	7	jul	T3	T3-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2765		5615791,31	872080,2154
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-9968,79		5500885,79	510404,9322
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-11730,02		6768805,86	1369494,069
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-6487		6793771	708584,88
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-7158		7487771	825631,242
